ID	name	C	H	O	N	P	cas	experimental_enthalpy
202	_1-Hexanol	6	14	1	0	0	111-27-3	-75
203	_1-5-Pentanediol	5	12	2	0	0	111-29-5	-105.6
204	Butane--1--ethenyloxy--	6	12	1	0	0	111-34-2	-42.83
205	Diethanolamine	4	11	2	1	0	111-42-2	-94.91
206	Di-n-propyl-ether	6	14	1	0	0	111-43-3	-70
207	Acetylimidazole-diethyl-acetal	9	16	2	2	0	111456-84-9	-70.93
208	_1--Dimethoxy-phenylmethyl--1H-imidazole	12	14	2	2	0	111456-85-0	-18.52
209	_1H-Azepine--hexahydro-	6	13	0	1	0	111-49-9	-10.8
210	Octane	8	18	0	0	0	111-65-9	-49.88
211	_1-Octene	8	16	0	0	0	111-66-0	-19.82
212	_1-Heptanamine	7	17	0	1	0	111-68-2	-51.63
213	Hexanedinitrile	6	8	0	2	0	111-69-3	35.7
214	_1-Heptanol	7	16	1	0	0	111-70-6	-82
215	Heptanal	7	14	1	0	0	111-71-7	-63.1
216	_1-5-Cyclooctadiene	8	12	0	0	0	111-78-4	13.7
217	Urea---1-1-dimethylethyl--	5	12	1	2	0	1118-12-3	-75.05
218	Nonane	9	20	0	0	0	111-84-2	-54.57
219	_1-Octanamine	8	19	0	1	0	111-86-4	-41.46
220	_4-4-Dimethyl-1-2-5-6-heptatriene	9	12	0	0	0	111869-19-3	81.3
221	_3-3-Dimethylbicylo-3-2-0-hepta-1-4-diene	9	12	0	0	0	111869-26-2	56.5
222	_3-5-Heptanedione--2-2-6-6-tetramethyl-	11	20	2	0	0	1118-71-4	-126.3
223	_1-Octanol	8	18	1	0	0	111-87-5	-85
224	_1-Butanamine--N-butyl-	8	19	0	1	0	111-92-2	-40.89
225	_2-Heptyne	7	12	0	0	0	1119-65-9	20.26
226	Ethane--1-1--oxybis-2-methoxy-	6	14	3	0	0	111-96-6	-124.6
227	Undecane	11	24	0	0	0	1120-21-4	-64.6
228	Nonanoic-acid	9	18	2	0	0	112-05-0	-137.6
229	Cyclobutane--methylene-	5	8	0	0	0	1120-56-5	25.4
230	Cyclopentene--3-methyl-	6	10	0	0	0	1120-62-3	2.31
231	Oxazole--4-5-dihydro-2-methyl-	4	7	1	1	0	1120-64-5	-31.18
232	_1-3-Dioxane--4-methyl-	5	10	2	0	0	1120-97-4	-90.08
233	_2-5-Pyrrolidinedione--1-methyl-	5	7	2	1	0	1121-07-9	-93.14
234	_4-5-Dihydro-3-nitro-isoxazole	3	4	3	2	0	1121-14-8	9.3
235	trans-4-5-Dimethyl-1-3-dioxane	6	12	2	0	0	1121-20-6	-98.2
236	_3-Pyridinol--6-methyl-	6	7	1	1	0	1121-78-4	-16.7
237	Glutarimide	5	7	2	1	0	1121-89-7	-94.07
238	_1-Decanol	10	22	1	0	0	112-30-1	-94
239	n-Dodecane	12	26	0	0	0	112-40-3	-69.52
240	Pyrazine--tetramethyl-	8	12	0	2	0	1124-11-4	13.1
241	_1-Dodecene	12	24	0	0	0	112-41-4	-39.53
242	Pyridine-1-oxide--4-nitro-	5	4	3	2	0	1124-33-0	30.1
243	_1-10-Decanediol	10	22	2	0	0	112-47-0	-125
244	_1-Dodecanol	12	26	1	0	0	112-53-8	-104.3
245	Benzaldehyde-dimethyl-acetal	9	12	2	0	0	1125-88-8	-59.5
246	_1-Tetradecanol	14	30	1	0	0	112-72-1	-113.5
247	Eicosane	20	42	0	0	0	112-95-8	-108.93
248	Benzene--1-hexynyl-	12	14	0	0	0	1129-65-3	54
249	_2-2--Bipyridine--4-4--dimethyl-	12	12	0	2	0	1134-35-6	50.02
250	Phenol--3-5-bis-1-1-dimethylethyl--	14	22	1	0	0	1138-52-9	-71.7
251	_1-4-Dicyclopropylbuta-1-3-diyne	10	10	0	0	0	114546-62-2	134.3
252	Bicyclo-2-2-2-oct-5-ene-2-carbonitrile--3-methyl----1--945--2--946--3--945--4--945-----exo-endo-	10	13	0	1	0	114718-69-3	32.5
253	Bicyclo-2-2-2-oct-5-ene-2-carbonitrile--3-methyl----1--945--2--945--3--946--4--945-----endo-exo-	10	13	0	1	0	114718-70-6	30.4
254	Bicyclo-2-2-2-oct-5-ene-2-carbonitrile--3-methyl----1--945--2--946--3--946--4--945-----exo-exo-	10	13	0	1	0	114718-71-7	32
255	Bicyclo-2-2-2-oct-5-ene-2-carbonitrile--3-methyl----1--945--2--945--3--945--4--945-----endo-endo-	10	13	0	1	0	114718-72-8	31.9
256	_2-2--6--2-quot--Terpyridine	15	11	0	3	0	1148-79-4	94.3
257	Propene	3	6	0	0	0	115-07-1	4.879
258	Dimethyl-ether	2	6	1	0	0	115-10-6	-43.99
259	_1-Propene--2-methyl-	4	8	0	0	0	115-11-7	-4.29
260	_1-Propene--2-methoxy-	4	8	1	0	0	116-11-0	-35.52
261	_1-Cyclopropylpenta-1-3-diyne	8	8	0	0	0	116316-76-8	115.8
262	Butanoic-acid--2-methyl-	5	10	2	0	0	116-53-0	-118.4
263	Endo-5-vinylbicyclo-2-2-1-hept-2-ene	9	12	0	0	0	117110-17-5	37.6
264	Trimethyl-methanetricarboxylate	7	10	6	0	0	1186-73-8	-252.08
265	Urea--tetraethyl-	9	20	1	2	0	1187-03-7	-75.6
266	Benzoic-acid--2-methyl-	8	8	2	0	0	118-90-1	-76.63
267	Anthranilic-acid	7	7	2	1	0	118-92-3	-70.8
268	Trinitrotoluene	7	5	6	3	0	118-96-7	5.75
269	c_-Z--2-Butenenitrile	4	5	0	1	0	1190-76-7	32.03
270	Cyclobutanone	4	6	1	0	0	1191-95-3	-21.9
271	Furan--2-3-dihydro-	4	6	1	0	0	1191-99-7	-17.27
272	Cyclopentane--1-2-dimethyl---cis-	7	14	0	0	0	1192-18-3	-30.96
273	_2-4-6-Trimethylnitrosobenzene	9	11	1	1	0	1196-12-9	25.67
274	Benzophenone	13	10	1	0	0	119-61-9	11.93
275	Tetralin	10	12	0	0	0	119-64-2	7.17
276	Isoquinoline	9	7	0	1	0	119-65-3	48.903
277	_2-2--Biquinoline	18	12	0	2	0	119-91-5	101.8
278	Anthracene	14	10	0	0	0	120-12-7	53
279	_1-3-Propanedione--1-3-diphenyl-	15	12	2	0	0	120-46-7	-26.1
280	Dicarbon	2	0	0	0	0	12070-15-4	200.22
282	_1-2-Benzenediol	6	6	2	0	0	120-80-9	-65.68
283	Cyclopentanone	5	8	1	0	0	120-92-3	-47.19
284	Benzene--1-methyl-2-4-dinitro-	7	6	4	2	0	121-14-2	7.93
285	Triethylamine	6	15	0	1	0	121-44-8	-32.05
286	_2-5-Norbornadiene	7	8	0	0	0	121-46-0	57
287	Phosphorus-dioxide	0	0	2	0	1	12164-97-5	-75.172
288	Benzenamine--N-N-dimethyl-	8	11	0	1	0	121-69-7	24.02
289	Benzenamine--N-N-3-trimethyl-	9	13	0	1	0	121-72-2	17.4
290	_1-3-5-Triazine--hexahydro-1-3-5-trinitro-	3	6	6	6	0	121-82-4	45.8
291	Tetracarbon	4	0	0	0	0	12184-80-4	232
292	Phosphorus-dimer	0	0	0	0	2	12185-09-0	34.42
293	Benzoic-acid--4-methoxy---methyl-ester	9	10	3	0	0	121-98-2	-103.49
294	Diphenylamine	12	11	0	1	0	122-39-4	48.2
295	Ethyl-orthoformate	7	16	3	0	0	122-51-0	-150.7
296	_3-Buten-2-one--4-phenyl-	10	10	1	0	0	122-57-6	-11.49
297	Oxirane---phenoxymethyl--	9	10	2	0	0	122-60-1	-23.82
298	Acetic-acid--phenyl-ester	8	8	2	0	0	122-79-2	-66.84
299	Phenol--4-ethyl-	8	10	1	0	0	123-07-9	-34.48
300	_4-Heptanone	7	14	1	0	0	123-19-3	-71.3
301	Nonanoic-acid--ethyl-ester	11	22	2	0	0	123-29-5	-141.1
302	Phenol--4-amino-	6	7	1	1	0	123-30-8	-21.6
303	Hydroquinone	6	6	2	0	0	123-31-9	-66.2
304	Propanal	3	6	1	0	0	123-38-6	-45.09
305	_4-Hydroxy-4-methylpentan-2-one	6	12	2	0	0	123-42-2	-116.2
306	_1-Butanol--3-methyl-	5	12	1	0	0	123-51-3	-71.89
307	Acetylacetone	5	8	2	0	0	123-54-6	-91.87
308	_2-5-Pyrrolidinedione	4	5	2	1	0	123-56-8	-89.75
309	Paraldehyde	6	12	3	0	0	123-63-7	-152.1
310	Hexanoic-acid--ethyl-ester	8	16	2	0	0	123-66-0	-126.1
311	Butanal	4	8	1	0	0	123-72-8	-50.61
312	Pyrrolidine	4	9	0	1	0	123-75-1	-0.82
313	Acetic-acid--butyl-ester	6	12	2	0	0	123-86-4	-135.3
314	_1-4-Dioxane	4	8	2	0	0	123-91-1	-75.36
315	Octanoic-acid	8	16	2	0	0	124-07-2	-132.5
316	Octanenitrile	8	15	0	1	0	124-12-9	-12.1
317	Octanal	8	16	1	0	0	124-13-0	-69.77
318	Decane	10	22	0	0	0	124-18-5	-59.67
319	Carbon-dioxide	1	0	2	0	0	124-38-9	-94.051
320	Methanamine--N-methyl-	2	7	0	1	0	124-40-3	-4.7
321	_3-4-Diethyl-3-4-dimethoxyhexane	12	26	2	0	0	125379-19-3	-122.4
322	Dimedone	8	12	2	0	0	126-81-8	-91.68
323	Propane--2-2-diethoxy-	7	16	2	0	0	126-84-1	-121.1
324	Butylated-hydroxytoluene	15	24	1	0	0	128-37-0	-70.96
325	_2-Cyano-2-nitroadamantane	11	14	2	2	0	128478-71-7	-5.02
326	Pyrene	16	10	0	0	0	129-00-0	53.9
327	Tetraspiro-2-0-0-0-2-1-1-1-undecane	11	14	0	0	0	129872-30-6	130
328	_1-1-Dibutoxypropane	11	24	2	0	0	13002-10-3	-132.1
329	_1-4-Naphthalenedione	10	6	2	0	0	130-15-4	-23.3
330	Tricyclo-4-2-0-0-sup-2-5--sup--octane--anti-	8	12	0	0	0	13027-75-3	50.4
331	N-N-Dimethylamino-2-4-6-heptatriene-7al	9	13	1	1	0	13044-92-3	5.17
332	_2-Cyclohexene-1-carbonitrile	7	9	0	1	0	13048-17-4	26.22
333	Methyl-N-N-dimethylalaninate	6	13	2	1	0	130515-23-0	-94.26
334	Dimethyl-phthalate	10	10	4	0	0	131-11-3	-144.9
335	_2-Methyl-6-t-butylaniline	11	17	0	1	0	13117-94-7	-10.7
336	_2-Naphthalenol--1-nitroso-	10	7	2	1	0	131-91-9	8.6
337	_1-Naphthalenol--2-nitroso-	10	7	2	1	0	132-53-6	-1.3
338	Dibenzofuran	12	8	1	0	0	132-64-9	11.3
339	_3-Hexene---E--	6	12	0	0	0	13269-52-8	-11.8
340	_1-3-Naphthalenediol	10	8	2	0	0	132-86-5	-50.48
341	c_-E--3-3--Bis--1-cyclohexenylidene-	12	16	0	0	0	132911-34-3	21.8
342	c_-Z--3-3--Bis--1-cyclohexenylidene-	12	16	0	0	0	132911-35-4	22.1
343	_2-Methyl-3-acetylquinoxaline-1-4-dioxide	11	10	3	2	0	13297-17-1	7.9
344	_2H-Inden-2-one--octahydro-3a-methyl---cis-	10	16	1	0	0	13351-29-6	-68.59
345	_3-Methyl-4-cyclohexene-1-1-2-2-tetracarbonitrile	11	8	0	4	0	13358-02-6	142.6
346	_3-Carene	10	16	0	0	0	13466-78-9	4.5
347	_2-Phenyl-3-benzoylquinoxaline-1-4-dioxide	21	14	3	2	0	13494-38-7	84.9
348	_2-Naphthalenol	10	8	1	0	0	135-19-3	-7.15
349	Phenoxazine	12	9	1	1	0	135-67-1	22.46
350	p-Quaterphenyl	24	18	0	0	0	135-70-6	95.6
351	Benzene---1-methylpropyl--	10	14	0	0	0	135-98-8	-4.17
352	Tricyclo-4-3-1-0-1-6--deca-2-ene	10	14	0	0	0	136630-10-9	23.1
353	_3-4-Dimethylenebicyclo-4-2-0-octa-1-5-diene	10	10	0	0	0	136846-72-5	85.8
354	_1-Butanol--2-methyl-	5	12	1	0	0	137-32-6	-72.19
355	cis-Bicyclo-6-1-0-nonane	9	16	0	0	0	13757-43-2	-4.96
357	Benzenamine--N-N-dimethyl-4-nitroso-	8	10	1	2	0	138-89-6	44.22
358	_2-Butanamine	4	11	0	1	0	13952-84-6	-25.4
359	Phosphinidene	0	1	0	0	1	13967-14-1	60.6
360	Hexahydro-1-3-5-trinitroso-1-3-5-triazine	3	6	3	6	0	13980-04-6	94.3
361	Dimethylaminomethanol	3	9	1	1	0	14002-21-2	-48.6
362	Piperazine--1-4-dinitroso-	4	8	2	4	0	140-79-4	46.4
363	_2-Propenoic-acid--ethyl-ester	5	8	2	0	0	140-88-5	-79.21
364	_2-4-Octanedione	8	14	2	0	0	14090-87-0	-109.2
365	c_-E--3--Methylamino--1-phenyl-but-2-enone	11	13	1	1	0	14091-93-1	-12.8
366	_2-Propenoic-acid--butyl-ester	7	12	2	0	0	141-32-2	-89.7
367	Ethyl-acetate	4	8	2	0	0	141-78-6	-106.46
368	_3-Penten-2-one--4-methyl-	6	10	1	0	0	141-79-7	-42.61
369	Butanoic-acid--3-oxo---ethyl-ester	6	10	3	0	0	141-97-9	-140.1
370	Cyclopentene	5	8	0	0	0	142-29-0	8.5
371	Bicyclo-3-2-1-octan-3-one	8	12	1	0	0	14252-05-2	-52.9
372	Hexanoic-acid	6	12	2	0	0	142-62-1	-122
373	_2H-Pyran--tetrahydro-	5	10	1	0	0	142-68-7	-53.5
374	Heptane	7	16	0	0	0	142-82-5	-44.89
375	_1-Propanamine--n-propyl-	6	15	0	1	0	142-84-7	-27.84
376	n-Butyl-ether	8	18	1	0	0	142-96-1	-79.8
377	Cyclobutane--1-2-bis-methylene--	6	8	0	0	0	14296-80-1	48.8
378	_1-Nonanol	9	20	1	0	0	143-08-8	-90
379	Nitrosyl-hydride	0	1	1	1	0	14332-28-6	23.8
380	Ethane--1-1-1-trimethoxy-	5	12	3	0	0	1445-45-0	-136.44
381	Cyclohexene--1-ethyl-	8	14	0	0	0	1453-24-3	-15.2
382	Bicyclo-3-1-1-heptan-3-one--2-6-6-trimethyl----1s--1--945--2--946--5--945----	10	16	1	0	0	14575-93-0	-35.5
383	_1-3-Hexadiene---Z--	6	10	0	0	0	14596-92-0	14
384	_1-3-Benzenedicarboxylic-acid-dimethyl-ester	10	10	4	0	0	1459-93-4	-150.4
385	Cyclopentanol--1-methyl-	6	12	1	0	0	1462-03-9	-67.94
386	Pyrazine--trimethyl-	7	10	0	2	0	14667-55-1	17.8
387	_2-Heptene---E--	7	14	0	0	0	14686-13-6	-17.7
388	_3-Heptene---E--	7	14	0	0	0	14686-14-7	-17.5
389	_2-4-Dimethyl-1-3-dioxole	5	8	2	0	0	14738-97-7	-101.1
390	_2-Methyl-4-methylene-1-3-dioxolane	5	8	2	0	0	14738-99-9	-91.5
391	Proline	5	9	2	1	0	147-85-3	-87.52
392	Bicyclo-2-2-2-oct-2-ene--5-methyl----1--945--4--945--5--946---	9	14	0	0	0	14803-42-0	-0.3
393	_8-Quinolinol	9	7	1	1	0	148-24-3	1.6
394	N-Methylcarbazole	13	11	0	1	0	1484-12-4	47.6
395	Furan--2-3-dihydro-5-methyl-	5	8	1	0	0	1487-15-6	-29.3
396	Furylethylene	6	6	1	0	0	1487-18-9	6.6
397	Dimethylvinylethynylhydroperoxide	7	10	2	0	0	14906-26-4	30.38
398	t-Butyldimethylvinylethynylperoxide	11	18	2	0	0	14906-32-2	5.43
399	Bicyclo-2-2-2-oct-2-ene--5-methyl----1--945--4--945--5--945---	9	14	0	0	0	14926-88-6	-1.7
400	Hexanoic-acid--2-ethyl-	8	16	2	0	0	149-57-5	-133.73
401	cis-2-4-6-Trimethyl-1-3-5-trioxane	6	12	3	0	0	1499-02-1	-152.06
402	Anthracene--9-10-diphenyl-	26	18	0	0	0	1499-10-1	114.3
403	p-Aminobenzoic-acid	7	7	2	1	0	150-13-0	-70.24
404	N-N-Dimethyl-1-adamantylcarboxamide	13	21	1	1	0	1502-00-7	-68.38
405	Cyclodecanone	10	18	1	0	0	1502-06-3	-72.91
406	_2--1-Cyclohexenyl-cyclohexanone	12	18	1	0	0	1502-22-3	-52.47
407	cis-2-4-Dimethyl-1-3-dioxane	6	12	2	0	0	15042-59-8	-101.6
408	trans-1-Methyl-1-2-dicyclopropylcyclopropane	10	16	0	0	0	150895-64-0	42.83
409	cis-1-Methyl-1-2-dicyclopropylcyclopropane	10	16	0	0	0	150895-65-1	43.26
410	H2NCH2CH2CN	3	6	0	2	0	151-18-8	21.45
411	Benzene--1-azido-4-nitro-	6	4	2	4	0	1516-60-5	93.1
412	Propanedinitrile--2-2---2-5-cyclohexadiene-1-4-diylidene-bis-	12	4	0	4	0	1518-16-7	184.3
413	_3-Penten-2-one--4-hydroxy-	5	8	2	0	0	1522-20-9	-92.1
414	_3-Octyne	8	14	0	0	0	15232-76-5	14.94
415	_4-Methyl-2-5-diisopropylphenol	13	20	1	0	0	15269-16-6	-62.11
416	_4-Methyl-3-5-diisopropylphenol	13	20	1	0	0	15269-17-7	-61.5
417	Cyclopentane--methylene-	6	10	0	0	0	1528-30-9	2.43
418	_9-9--Dimethyl-9-9--bifluorenyl	28	22	0	0	0	15300-82-0	77.41
419	_9-9--Bi-9H-fluorene	26	18	0	0	0	1530-12-7	78.9
420	_1-Propanone--2--dimethylamino--1-phenyl-	11	15	1	1	0	15351-09-4	-16.7
421	_2-4-Pentanedione--3-ethyl-	7	12	2	0	0	1540-34-7	-105.1
422	_3-n-Propyl-2-4-pentanedione	8	14	2	0	0	1540-35-8	-108.3
423	_2-4-Pentanedione--3-butyl-	9	16	2	0	0	1540-36-9	-111.2
424	_2-4-Pentanedione--3--1-methylethyl--	8	14	2	0	0	1540-38-1	-107.3
425	_1-8-Cyclotetradecadiyne	14	20	0	0	0	1540-80-3	74.99
426	Ethanol--2---1-1-dimethylethyl-dioxy--	6	14	3	0	0	15476-85-4	-106.4
427	Butanoic-acid--cyclohexyl-ester	10	18	2	0	0	1551-44-6	-130.4
428	_1-5-Cyclooctadiene---Z-Z--	8	12	0	0	0	1552-12-1	24.15
429	Butyl-2-methylbutanoate	9	18	2	0	0	15706-73-7	-133.6
430	_3H-Diazirine	1	2	0	2	0	157-22-2	63.85
431	Ethyl-2-cyanopropionate	6	9	2	1	0	1572-99-2	-74.56
432	Bicyclo-1-1-0-butane	4	6	0	0	0	157-33-5	51.9
433	Spiropentane	5	8	0	0	0	157-40-4	44.23
434	_3-Penten-1-yne---Z--	5	6	0	0	0	1574-40-9	61.7
435	_1-3-Pentadiene---Z--	5	8	0	0	0	1574-41-0	19.77
436	_3-Methylenecyclobutane-carbonitrile	6	7	0	1	0	15760-35-7	60.33
437	Phenanthrene--2-7-dimethyl-	16	14	0	0	0	1576-69-8	34.2
438	Homocubane-4-carboxylic-acid	10	10	2	0	0	15844-05-0	0.6
439	Nonane--5-methyl-	10	22	0	0	0	15869-85-9	-61.81
440	_2-Butanol----------	4	10	1	0	0	15892-23-6	-69.96
441	Oxirane----3-methylbutoxy-methyl--	8	16	2	0	0	15965-97-6	-78.44
442	Tricyclo-6-2-0-0-sup-3-6--sup--deca-1-8--2-6-triene	10	10	0	0	0	1610-51-1	74
443	N--3-Phenoxy-2-hydroxypropyl-aniline	15	17	2	1	0	16112-55-3	-44.1
444	cis-1-2-Divinylcyclobutane	8	12	0	0	0	16177-46-1	44.9
445	N-N-Diethylaminoacetone	7	15	1	1	0	1620-14-0	-55.76
446	_2-Methoxy-2-methylpentanenitrile	7	13	1	1	0	162047-90-7	-40.459
447	_2-Methoxy-3-3-dimethylbutanenitrile	7	13	1	1	0	162047-91-8	-39.36
448	_3-5-Di-tert-butylbenzoic-acid	15	22	2	0	0	16225-26-6	-123.39
449	Cyclopropane--1-1-dimethyl-	5	10	0	0	0	1630-94-0	-1.97
450	c_-2-2-Paracyclophane	16	16	0	0	0	1633-22-3	58.48
451	Propane--2-methoxy-2-methyl-	5	12	1	0	0	1634-04-4	-68.12
452	Cyclopentane--1-1-dimethyl-	7	14	0	0	0	1638-26-2	-33.05
453	Bicyclo-4-2-1-non-3-ene	9	14	0	0	0	16456-33-0	0.86
454	_2H-Inden-2-one--octahydro---trans-	9	14	1	0	0	16484-17-6	-59.56
455	Triethyl-1-1-1-ethanetricarboxylate	11	18	6	0	0	16515-90-5	-286.19
456	cis-Bicyclo-5-1-0-octane	8	14	0	0	0	16526-90-2	-1.5
457	_1-3-5-7-9-Pentaoxecane	5	10	5	0	0	16528-92-0	-186.38
458	c_-E--3-Pentenenitrile	5	7	0	1	0	16529-66-1	30
459	cis-Bicyclo-4-1-0-hept-3-ene	7	10	0	0	0	16554-83-9	28.8
460	_1-Adamantyl-methyl-ketone	12	18	1	0	0	1660-04-4	-71.3
461	Di-t-butyldiazene-N-oxide	8	18	1	2	0	16649-52-8	-25.71
462	c_-Z--Hexa-1-5-diyne-3-ene	6	4	0	0	0	16668-67-0	129.5
463	c_-E--Hexa-1-5-diyne-3-ene	6	4	0	0	0	16668-68-1	128.6
464	Ethanone--1--2-4-6-trimethylphenyl--	11	14	1	0	0	1667-01-2	-49
465	_1H-Tetrazole--1-methyl-	2	4	0	4	0	16681-77-9	77.17
466	_2H-Tetrazole--2-methyl-	2	4	0	4	0	16681-78-0	78.5
467	Anti-tricyclo-4-1-0-0-2-4--heptane	7	10	0	0	0	16782-44-8	36.9
468	Cyclohexane--ethyl-	8	16	0	0	0	1678-91-7	-41.25
469	Cyclohexane--propyl-	9	18	0	0	0	1678-92-8	-45.98
470	Cyclohexane--butyl-	10	20	0	0	0	1678-93-9	-50.95
471	_1H-Indene--2-3-dihydro-4-6-dimethyl-	11	14	0	0	0	1685-82-1	-1.4
472	_1-3-5-7-Tetramethyladamantane	14	24	0	0	0	1687-36-1	-68
473	Bicyclo-1-1-0-butane-1-carbonitrile	5	5	0	1	0	16955-35-4	72.78
474	Tricyclo-4-3-1-0-1-6-deca-3-ene	10	14	0	0	0	17048-59-8	22.9
475	_1-2-3-4-Tetrahydro-9-methylcarbazole	13	15	0	1	0	17058-12-7	22.3
476	Diazene--diphenyl----E--	12	10	0	2	0	17082-12-1	96.92
477	Cyclopropane--1-1-diethenyl-	7	10	0	0	0	17085-84-6	48.2
478	Dioxybismethanol	2	6	4	0	0	17088-73-2	-124.5
479	cis-2-2-4-6-Tetramethyl-1-3-dioxane	8	16	2	0	0	17227-17-7	-118.6
480	Oxacyclododecan-2-one	11	20	2	0	0	1725-03-7	-123.6
481	Oxacyclotetradecan-2-one	13	24	2	0	0	1725-04-8	-136
482	Pyrene--1-2-3-6-7-8-hexahydro-	16	16	0	0	0	1732-13-4	9.73
483	Propane--2-methyl-2--1-methylethoxy--	7	16	1	0	0	17348-59-3	-85.5
484	Propanenitrile--3--dimethylamino--	5	10	0	2	0	1738-25-6	23.1
485	Methoxyacetonitrile	3	5	1	1	0	1738-36-9	-8.52
486	Isophthalamide	8	8	2	2	0	1740-57-4	-70.3
487	_4-Isopropyl-2-methylphenol	10	14	1	0	0	1740-97-2	-49.42
488	Hydrazine--1-2-dibutyl-	8	20	0	2	0	1744-71-4	-14.2
489	Bicyclo-3-3-1-non-1-ene	9	14	0	0	0	17530-61-9	7.4
490	Pentalene--octahydro---cis-	8	14	0	0	0	1755-05-1	-22.3
491	Cyclopentane--1-3-dimethyl---trans-	7	14	0	0	0	1759-58-6	-32.47
492	Cyclopentene--4-methyl-	6	10	0	0	0	1759-81-5	3.5
493	_1-5-Cyclooctadiene---E-E--	8	12	0	0	0	17612-50-9	46.9
494	Spiro-4-5-decane	10	18	0	0	0	176-63-6	-34.68
495	_2-Phenylbicyclo-1-1-1-pentane-2-ol	11	12	1	0	0	17684-73-0	32.46
496	Diazene--dipropyl---1-oxide	6	14	1	2	0	17697-55-1	-7.41
497	Phosphorus-mononitride	0	0	0	1	1	17739-47-8	25.043
498	Perhydrotriquinacene	10	16	0	0	0	17760-91-7	-24.46
499	Tetracyclo-6-2-1-0-2-7--o-3-5--undecane	11	16	0	0	0	1777-44-2	14.1
500	l-3-6-Trioxocane	5	10	3	0	0	1779-19-7	-111.7
501	Bicyclo-3-3-1-nonan-9-one	9	14	1	0	0	17931-55-4	-57.3
502	Cyclohexane--octyl-	14	28	0	0	0	1795-15-9	-70.65
503	Cyclohexane--decyl-	16	32	0	0	0	1795-16-0	-80.51
504	Dodecylcyclohexane	18	36	0	0	0	1795-17-1	-90.36
505	Cyclohexane--tetradecyl-	20	40	0	0	0	1795-18-2	-100.21
506	n-Octylcyclopentane	13	26	0	0	0	1795-20-6	-59.92
507	n-Tetradecylcyclopentane	19	38	0	0	0	1795-22-8	-89.48
508	Cyclohexane--1-3-5-trimethyl----1--945--3--945--5--946---trans	9	18	0	0	0	1795-26-2	-49.37
509	Cyclohexane--1-3-5-trimethyl----1--945--3--945--5--945---cis	9	18	0	0	0	1795-27-3	-51.48
510	trans-Bicyclo-6-1-0-nona-2-4-6-triene	9	10	0	0	0	18012-46-9	88.8
511	_1H-Tetrazole--5-phenyl-	7	6	0	4	0	18039-42-4	98.7
512	_2-5-Diphenyl-2H-tetrazole	13	10	0	4	0	18039-45-7	123.1
513	Spiro-5-5-undecane	11	20	0	0	0	180-43-8	-45.01
514	_2-Butenoic-acid--1-methylethyl-ester	7	12	2	0	0	18060-77-0	-98.2
515	c_-E-E--2-4-Hexadiene--3-4-dimethyl-	8	14	0	0	0	18265-39-9	-0.54
516	_3-5-Heptanedione--2-6-dimethyl-	9	16	2	0	0	18362-64-6	-112.4
517	Pentanoic-acid--1-methylethyl-ester	8	16	2	0	0	18362-97-5	-130.2
518	Tetramethoxymethane	5	12	4	0	0	1850-14-2	-173.8
519	Bicyclo-2-1-0-pentane	5	8	0	0	0	185-94-4	37.7
520	Bicyclo-2-2-0-hexane	6	10	0	0	0	186-04-9	29.8
521	_2-Methyl-4-hydroxypyridine	6	7	1	1	0	18615-86-6	-17.1
522	Formic-acid-phenyl-ester	7	6	2	0	0	1864-94-4	-51.55
523	Bicyclo-2-2-2-octan-2-ol	8	14	1	0	0	18684-63-4	-68
524	Tricyclo-4-1-0-0-sup-2-4--sup---heptane	7	10	0	0	0	187-26-8	35.62
525	_5-Nitro-2-furancarboxylic-acid-methyl-ester	6	5	5	1	0	1874-23-3	-87.7
526	Cyclopent-fg-acenaphthylene	14	8	0	0	0	187-78-0	97.66
527	N-N-Dimethylacetamide-dimethyl-acetal	6	15	2	1	0	18871-66-4	-92.5
528	Benzene--1-1---1-1-2-2-tetramethyl-1-2-ethanediyl-bis-	18	22	0	0	0	1889-67-4	13.7
529	Butanenitrile--2-methyl-	5	9	0	1	0	18936-17-9	0.58
530	Tricyclo-3-2-1-0-sup-1-5--sup--octane	8	12	0	0	0	19074-25-0	36.3
531	Coronene	24	12	0	0	0	191-07-1	70.5
532	Benzofurazan--5-methyl---1-oxide	7	6	2	2	0	19164-41-1	63.91
533	Dibenzo-g-p-chrysene	26	16	0	0	0	191-68-4	120
534	Tetracyclopropylsuccinonitrile	16	20	0	2	0	19219-01-3	128.4
535	Bis-2-2-dinitropropyl-amine	6	11	8	5	0	1924-47-6	-38.2
536	_2--Diethylamino--pentanenitrile	9	18	0	2	0	19340-91-1	-1.1
537	_3-4-5-6-Tetrahydro-3-3-6-6-tetramethylpyridazine	8	16	0	2	0	19403-24-8	10
538	_4-Octyne	8	14	0	0	0	1942-45-6	14.36
539	_5-Decyne	10	18	0	0	0	1942-46-7	4.46
540	Spiro-cyclopropane-1-5--bicyclo-2-1-0-pentane-	7	10	0	0	0	19446-68-5	68.9
541	_2-Nonyne	9	16	0	0	0	19447-29-1	10.42
542	Benzo-c-phenanthrene	18	12	0	0	0	195-19-7	69.6
543	Benzene--1-3-dimethyl-2-nitroso-	8	9	1	1	0	19519-71-2	33.41
544	_2-Oxetanone--3-3-dimethyl-	5	8	2	0	0	1955-45-9	-84.29
545	Cyclohexane--azido-	6	11	0	3	0	19573-22-9	36.9
