ID	name	C	H	O	N	P	cas	experimental_enthalpy
1618	Quinoline--2-7-dimethyl-	11	11	0	1	0	93-37-8	29.11
1619	_1-2-Benzenediol--3-methoxy-	7	8	3	0	0	934-00-9	-100
1620	Benzoic-acid--methyl-ester	8	8	2	0	0	93-58-3	-64.4
1621	Formamide--N-methyl-N-phenyl-	8	9	1	1	0	93-61-8	-18.07
1622	_1-3-Dioxolane--2-phenyl-	9	10	2	0	0	936-51-6	-49.07
1623	_1-3-Butanedione--1-phenyl-	10	10	2	0	0	93-91-4	-58.34
1624	Benzoic-acid--anhydride	14	10	3	0	0	93-97-0	-76.3
1625	Benzoic-acid--phenyl-ester	13	10	2	0	0	93-99-2	-34
1626	_1H-Indene--2-3-dihydro-1-1-4-6-tetramethyl-	13	18	0	0	0	941-60-6	-16.8
1627	_1-5-Diphenylbicyclo-3-2-0-heptane	19	22	0	0	0	94383-67-2	51.3
1628	Indene	9	8	0	0	0	95-13-6	38.53
1629	_1H-Benzotriazole	6	5	0	3	0	95-14-7	80.19
1630	Benzene--1-2-dimethyl-	8	10	0	0	0	95-47-6	4.54
1631	Phenol--2-methyl-	7	8	1	0	0	95-48-7	-30.67
1632	Benzenamine--2-methyl-	7	9	0	1	0	95-53-4	12.7
1633	_3-Ethylidene-1-4-pentadiene	7	10	0	0	0	95540-87-7	38
1634	Phenol--2-amino-	6	7	1	1	0	95-55-6	-24.95
1635	Benzene--1-2-4-trimethyl-	9	12	0	0	0	95-63-6	-3.33
1636	Naphthacene--5-12-dihydro-	18	14	0	0	0	959-02-4	53.75
1637	Benzene--1-2-4-5-tetramethyl-	10	14	0	0	0	95-93-2	-11.3
1638	Pentane--3-methyl-	6	14	0	0	0	96-14-0	-41.02
1639	_3-Pentanone	5	10	1	0	0	96-22-0	-60.6
1640	Urea--N-N--dimethyl-	3	8	1	2	0	96-31-1	-52.96
1641	_2-Propenoic-acid--methyl-ester	4	6	2	0	0	96-33-3	-79.59
1642	Acetic-acid--hydroxy---methyl-ester	3	6	3	0	0	96-35-5	-133.1
1643	Cyclopentane--methyl-	6	12	0	0	0	96-37-7	-25.33
1644	Cyclopentanol	5	10	1	0	0	96-41-3	-58.08
1645	c_--947--Butyrolactone	4	6	2	0	0	96-48-0	-87
